source_id,domain,institution,title,date,source_type,authority,priority,refresh,power_dimensions,use,status,url,notes
FR-SRC-0025,foreign_control,INSEE,Emploi en France sous contrôle étranger en 2023,2025-11-27,official_statistics,PRIMARY_STATISTICAL,A1,annual,ownership;employment;external,foreign-control exposure,VERIFIED,https://www.insee.fr/fr/statistiques/8671743,Use as structural denominator.
FR-SRC-0026,corporate_finance,Banque de France,Fichier bancaire des entreprises (FIBEN),2025-04-14,official_database,PRIMARY,A1,continuous,finance;credit;corporate,"financing relationships, credit exposures, financial links",VERIFIED,https://www.banque-france.fr/fr/a-votre-service/banques-assurances-prestataires-fiduciaires/fichier-bancaire-entreprises-fiben,Access constraints apply; use public statistics where direct access unavailable.
FR-SRC-0030,banking,ACPR,Marché français de la banque et de l'assurance 2024,2025-10-23,official_statistics,PRIMARY_REGULATORY,A0,annual,finance;regulation;concentration,bank/insurance system structure,VERIFIED,https://acpr.banque-france.fr/fr/publications-et-statistiques/publications/les-chiffres-du-marche-francais-de-la-banque-et-de-lassurance-2024,Use sector totals and supervised-entity structure.
FR-SRC-0031,banking,ACPR,Situation des grands groupes bancaires français à fin 2024,2025-06-30,official_regulatory_analysis,PRIMARY_REGULATORY,A0,annual,finance;systemic;concentration,large-bank group structure and risk,VERIFIED,https://acpr.banque-france.fr/fr/publications-et-statistiques/publications/ndeg-172-la-situation-des-grands-groupes-bancaires-francais-fin-2024,Do not infer coordination among groups.
FR-SRC-0032,financial_stability,Banque de France,Rapport sur la stabilité financière — juin 2026,2026-06-24,official_regulatory_analysis,PRIMARY_REGULATORY,A0,semiannual,finance;systemic;external,financial vulnerabilities and transmission channels,VERIFIED,https://www.banque-france.fr/fr/publications-et-statistiques/publications/rapport-sur-la-stabilite-financiere-juin-2026,Systemic importance ≠ political influence.
FR-SRC-0033,banking_supervision,ACPR,Réglementation prudentielle et supervision européenne,2026-08-12,official_regulatory_reference,PRIMARY_REGULATORY,A0,event_driven,regulation;finance;EU,ACPR/SSM supervisory architecture,VERIFIED,https://acpr.banque-france.fr/fr/reglementation/focus-sur-la-reglementation/la-reglementation-en-bref,French bank supervision is partly Europeanized.
FR-SRC-0034,capital_markets,AMF,Règlement général de l'AMF en vigueur au 30/06/2026,2026-06-30,regulatory_corpus,PRIMARY,A0,event_driven,finance;regulation;disclosure,listed-company disclosures and market regulation,VERIFIED,https://www.amf-france.org/fr/eli/fr/aai/amf/rg/20260630/notes,Corporate filings can populate ownership/governance graph.
FR-SRC-0040,competition,Autorité de la concurrence,Bilan d'activité 2025,2026,official_regulatory_report,PRIMARY_REGULATORY,A0,annual,competition;regulation;market_power,competition enforcement and concentration controls,VERIFIED,https://media.autoritedelaconcurrence.fr/adlc-bilan-activite-2025/,"Competition decisions are evidence of market-power issues, not proof of political power."
FR-SRC-0041,public_procurement,Ministère de l'Économie — DAJ,Recensement économique de la commande publique,2026-08-12,official_data_system,PRIMARY,A0,continuous,procurement;fiscal;economic,state/local public-contract graph,VERIFIED,https://www.economie.gouv.fr/daj/commande-publique/conseil-national-de-la-commande-publique/le-recensement-economique-de-la-commande-publique,Contract award ≠ influence; infer only transaction/dependency.
FR-SRC-0042,public_procurement,data.gouv.fr / Ministères économiques,Données essentielles de la commande publique — fichiers consolidés,2026-08-12,open_dataset,PRIMARY_DATA,A0,continuous,procurement;economic;network,buyer-supplier edge construction,VERIFIED,https://www.data.gouv.fr/datasets/donnees-essentielles-de-la-commande-publique-fichiers-consolides,"Use award amounts, buyers, holders, procedure; no collusion inference."
FR-SRC-0043,business_aid,DG Trésor,Comment définir les aides publiques aux entreprises ?,2026-04-16,official_methodology,PRIMARY_POLICY,A0,event_driven,subsidy;fiscal;economic,define public-aid edges and avoid denominator errors,VERIFIED,https://www.tresor.economie.gouv.fr/Articles/2026/04/16/comment-definir-les-aides-publiques-aux-entreprises,Aids require multi-source quantification.
FR-SRC-0050,media_regulation,Arcom,Pluralisme politique,2026-08-12,official_regulatory_reference,PRIMARY_REGULATORY,A0,continuous,information;pluralism;regulation,political-expression regulation and exposure controls,VERIFIED,https://www.arcom.fr/nous-connaitre-nos-missions/garantir-le-pluralisme-et-la-cohesion-sociale/proteger-le-pluralisme-politique,Time-of-speech regulation ≠ editorial control.
FR-SRC-0051,media_concentration,Arcom,Dispositif anti-concentration,2026-08-12,official_regulatory_reference,PRIMARY_REGULATORY,A0,event_driven,information;ownership;competition,legal anti-concentration constraints,VERIFIED,https://www.arcom.fr/nous-connaitre/nos-missions/garantir-le-pluralisme-et-la-cohesion-sociale/le-dispositif-anti-concentration-un-outil-visant-garantir-le-pluralisme,Legal thresholds do not measure exposure concentration by themselves.
FR-SRC-0052,media_concentration,Sénat,"À l'heure du numérique, la concentration des médias en question ?",2022-03-29,parliamentary_inquiry,OFFICIAL_INQUIRY,A0,historical_baseline,information;ownership;concentration;platforms,ownership/concentration baseline and actor discovery,VERIFIED,https://www.senat.fr/rap/r21-593-1/r21-593-1_mono.html,Must update individual ownership with 2026 filings.
FR-SRC-0053,public_media,Arcom,Audiovisuel public en France,2026-08-12,official_regulatory_reference,PRIMARY_REGULATORY,A0,event_driven,information;public_service;funding,public-media structure and mandates,VERIFIED,https://www.arcom.fr/nous-connaitre/notre-institution/laudiovisuel-public-en-france,Public funding ≠ governmental editorial control.
FR-SRC-0054,public_media,Assemblée nationale,"Commission d'enquête sur la neutralité, le fonctionnement et le financement de l'audiovisuel public — rapport 2026",2026-04-27,parliamentary_inquiry,OFFICIAL_INQUIRY,A1,one_off,information;funding;governance,public-media governance and financing controversy/evidence,VERIFIED,https://www.assemblee-nationale.fr/dyn/17/rapports/ceaudio/l17b2698-t1_rapport-enquete,"Separate testimony, findings, recommendations and contested claims."
FR-SRC-0055,digital_media,Arcep / Arcom,Référentiel des usages numériques — 5e édition,2025-07-07,official_joint_statistics,PRIMARY_STATISTICAL,A0,annual,platforms;information;digital;exposure,digital/audiovisual use and platform exposure,VERIFIED,https://www.arcep.fr/actualites/actualites-et-communiques/detail/n/usages-numeriques-en-france-070725.html,Exposure must be distinct from ownership.
FR-SRC-0056,platform_power,Autorité de la concurrence,Droits voisins — mesures conservatoires Meta / presse,2026-07-08,competition_case,PRIMARY_REGULATORY,A1,case_driven,platforms;information;market_power,platform-publisher bargaining-power evidence,VERIFIED,https://www.autoritedelaconcurrence.fr/fr/communiques-de-presse/droits-voisins-lautorite-de-la-concurrence-prononce-des-mesures,Case-specific; do not generalize to all platforms.
FR-SRC-0060,telecom,Arcep,Marché des communications électroniques — T4 2025,2026-04-09,official_statistics,PRIMARY_REGULATORY,A0,quarterly,infrastructure;digital;market,telecom infrastructure and market structure,VERIFIED,https://www.arcep.fr/cartes-et-donnees/nos-publications-chiffrees/observatoire-des-marches-des-communications-electroniques-en-france/t4-2025.html,Infrastructure reach and market share to be separated.
FR-SRC-0061,telecom,Arcep,Marché communications électroniques — T1 2026,2026-07-09,official_statistics,PRIMARY_REGULATORY,A1,quarterly,infrastructure;digital;market,latest snapshot-compatible telecom indicators,VERIFIED,https://www.arcep.fr/fileadmin/cru-1781620857/reprise/observatoire/1-2026/obs-marches-t1-2026_juil2026.pdf,PDF source; future visual table extraction should use PDF screenshot workflow.
FR-SRC-0062,data_regulation,CNIL,Rapport annuel 2025,2026-05-18,official_regulatory_report,PRIMARY_REGULATORY,A0,annual,data;privacy;regulation;sanction,data-governance power and sanctions,VERIFIED,https://www.cnil.fr/fr/rapport-annuel-2025,"Regulatory capacity, not intent."
FR-SRC-0063,cybersecurity,ANSSI,Rapport d'activité 2025,2026-05-06,official_security_report,PRIMARY,A0,annual,cyber;security;infrastructure,cyber-state capacity and critical-system protection,VERIFIED,https://cyber.sites.beta.gouv.fr/nous-connaitre/publications/rapports-dactivite/rapport-dactivit%C3%A9-anssi-2025/,Security capability ≠ political coercion.
FR-SRC-0070,energy,CRE,Rapport d'activité 2025,2026-06-18,official_regulatory_report,PRIMARY_REGULATORY,A0,annual,energy;regulation;infrastructure,energy-market governance and network regulation,VERIFIED,https://www.cre.fr/actualites/toute-lactualite/la-commission-de-regulation-de-lenergie-publie-son-rapport-dactivite-2025.html,Energy system is hybrid: regulated networks + competitive supply + state ownership edges.
FR-SRC-0071,energy,CRE,Observatoire marchés de détail — T1 2026,2026-07-02,official_statistics,PRIMARY_REGULATORY,A0,quarterly,energy;competition;market,"supplier shares, regulated tariffs, HHI, switching",VERIFIED,https://www.cre.fr/actualites/toute-lactualite/la-cre-publie-son-observatoire-des-marches-de-detail-du-1er-trimestre-2026.html,Use actual HHI/market shares instead of impressionistic concentration.
FR-SRC-0072,energy,CRE,Surveillance des marchés de gros 2025,2026-06-25,official_regulatory_report,PRIMARY_REGULATORY,A1,annual,energy;wholesale;market;external,wholesale-market structure and volatility,VERIFIED,https://www.cre.fr/actualites/toute-lactualite/la-commission-de-regulation-de-lenergie-publie-son-rapport-de-surveillance-des-marches-de-gros-2025.html,Wholesale and retail power must be distinct.
FR-SRC-0080,lobbying,HATVP,Rapport d'activité 2025,2026-05-28,official_integrity_report,PRIMARY_REGULATORY,A0,annual,influence;network;integrity,"lobbying, revolving doors, conflicts of interest, foreign influence",VERIFIED,https://www.hatvp.fr/presse/rapport-dactivite-2025-et-bilan-raisonne-du-president-jean-maia/,Registered contact ≠ capture or coordination.
FR-SRC-0081,labor_representation,Ministère du Travail,Représentativité syndicale et patronale — mesure d'audience 2025,2025-04-08,official_statistics,PRIMARY,A0,cycle,labor;representation;collective_bargaining,union/employer representative weights,VERIFIED,https://travail-emploi.gouv.fr/representativite-syndicale-et-patronale-les-resultats-de-la-mesure-daudience-2025,Representativeness ≠ political ideology.
FR-SRC-0082,labor_representation,Ministère du Travail,Bilan 2025 de représentativité syndicale et patronale,2026-07-09,official_report,PRIMARY,A0,cycle,labor;representation;corporatism_test,branch employer-organization structure,VERIFIED,https://travail-emploi.gouv.fr/bilan-de-la-mesure-2025-de-la-representativite-des-organisations-syndicales-et-patronales,Large number of organizations argues against treating representation as a single corporative bloc.
FR-SRC-0083,collective_bargaining,DARES,Textes et accords collectifs d'entreprise en 2024,2025-12-19,official_statistics,PRIMARY_STATISTICAL,A0,annual,labor;collective_bargaining;enterprise,actual collective-bargaining activity,VERIFIED,https://dares.travail-emploi.gouv.fr/publication/textes-et-accords-collectifs-dentreprise-en-2024,Use formal bargaining edges separately from political lobbying.
FR-SRC-0090,health_expertise,Haute Autorité de santé,Rapport d'activité 2025,2026-04-09,official_expert_report,PRIMARY_INDEPENDENT,A0,annual,expertise;health;norms,expertise-to-decision pathway in health,VERIFIED,https://www.has-sante.fr/jcms/c_1267546/fr/rapport-d-activite-2025-de-la-has,Recommendation/expertise ≠ final political decision.
FR-SRC-0091,medicines,ANSM,Rapport d'activité 2025,2026-07-08,official_regulatory_report,PRIMARY_REGULATORY,A0,annual,health;regulation;supply,"drug authorization, safety, shortages, supply constraints",VERIFIED,https://ansm.sante.fr/actualites/lansm-publie-son-rapport-dactivite-2025,Supply intervention separate from ownership.
FR-SRC-0100,defense,DGA,Bilan d'activités 2025,2026-04-14,official_report,PRIMARY,A0,annual,defense;procurement;industry;state,defense procurement and industrial-policy graph,VERIFIED,https://www.defense.gouv.fr/dga/actualites/bilan-dactivites-2025-dga-est-ligne,Defense sector has unusually strong state-customer and sovereignty links.
FR-SRC-0101,defense,DGA,Calepin des entreprises internationales de défense — édition 2026,2026-01-08,official_industry_directory,PRIMARY,A1,annual,defense;industry;network,defense-industry actor discovery,VERIFIED,https://armement.defense.gouv.fr/la-dga-publie-ledition-2026-du-calepin-des-entreprises-internationales-de-defense,Directory presence ≠ dependence on state.
FR-SRC-0110,eu_fiscal,European Commission,2026 Country Report — France,2026-06-03,official_eu_report,PRIMARY_SUPRANATIONAL,A0,annual,EU;fiscal;economic;reform,EU economic/fiscal constraints and recommendations,VERIFIED,https://economy-finance.ec.europa.eu/economic-surveillance-eu-member-states/country-pages-including-country-reports/country-report-france_en,Recommendation ≠ direct legal command; classify instrument.
FR-SRC-0111,eu_fiscal,Council of the EU,European Semester 2026 — country-specific recommendations,2026-07-10,official_eu_decision,PRIMARY_SUPRANATIONAL,A0,annual,EU;fiscal;economic;employment,policy coordination and formal recommendations,VERIFIED,https://www.consilium.europa.eu/en/press/press-releases/2026/07/10/european-semester-2026-council-adopts-country-specific-recommendations/,Code legal force separately from political pressure.
FR-SRC-0112,monetary_policy,European Central Bank,Monetary policy decisions — 23 July 2026,2026-07-23,official_eu_decision,PRIMARY_SUPRANATIONAL,A0,6_weekly,monetary;finance;EU,monetary-policy authority external to French national government,VERIFIED,https://www.ecb.europa.eu/press/pr/date/2026/html/ecb.mp260723~29f24d99bc.en.html,French government does not set euro-area policy rates.
FR-SRC-0113,monetary_policy,European Central Bank,ECB monetary policy — institutional introduction,2026-08-12,official_institutional_reference,PRIMARY_SUPRANATIONAL,A0,event_driven,monetary;institutional;EU,Governing Council authority structure,VERIFIED,https://www.ecb.europa.eu/mopo/intro/html/index.en.html,Separate Banque de France participation from national executive control.
FR-SRC-0114,rule_of_law,European Commission,2026 Rule of Law Report — France chapter,2026-07-17,official_eu_report,PRIMARY_SUPRANATIONAL,A0,annual,judicial;media;integrity;EU,"rule-of-law, media pluralism, justice and checks/balances control",VERIFIED,https://commission.europa.eu/document/download/e6577383-66c2-48d2-8a2e-d029d254a4ec_en?filename=Country+chapter+-+France+-+EN.pdf,"Use as external diagnostic, not sole evidence."
FR-SRC-0115,human_rights,European Court of Human Rights,Guide Article 11 — freedom of assembly and association,2026-02-28,case_law_guide,PRIMARY_SUPRANATIONAL_GUIDE,A0,periodic,rights;association;labor;judicial,external rights constraint on assembly/association/unions,VERIFIED,https://ks.echr.coe.int/documents/d/echr-ks/guide_art_11_eng,Case-law guide; actual France cases must be separately coded.
